OSM_ID,NAME,Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
-1850408,Ахтубинский район,AST,"28,62","15,94","0,66","2,52","11,46","16,28","3,77","4,54","0,13","8,02","2,11","4,00","0,00","16,59","1,42","2,39","20,90","0,74","2,68","4,33"
-1863175,Володарский район,AST,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
-1853865,городской округ Астрахань,AST,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
-1853856,Енотаевский район,AST,"10,63","7,04","2,07","3,16","2,48","13,61","1,58","0,05","0,04","0,00","2,95","1,01","0,00","1,54","0,00","0,14","0,18","0,00","0,12","0,00"
-1957534,Икрянинский район,AST,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
-1957535,Камызякский район,AST,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
-1863174,Красноярский район,AST,"4,99","0,35","1,64","7,71","0,00","25,11","9,21","7,32","22,37","1,87","31,06","2,46","0,00","22,91","7,87","5,92","12,50","1,76","8,09","17,46"
-1853857,Лиманский район,AST,"0,08","13,33","0,03","4,88","3,35","19,64","6,71","1,65","0,32","1,55","13,22","0,00","0,00","4,02","6,65","0,00","1,07","0,06","0,00","0,00"
-1853860,Наримановский район,AST,"0,08","0,32","0,53","1,28","0,03","1,29","0,71","0,00","0,00","0,00","3,80","1,97","0,00","1,45","0,50","0,00","0,00","0,12","0,26","0,05"
-1863176,Приволжский район,AST,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
-1853861,Харабалинский район,AST,"0,27","1,04","0,05","2,38","0,06","11,09","6,74","0,80","1,97","0,36","14,41","5,32","0,03","9,08","0,30","3,36","1,25","2,52","0,46","1,65"
-1853863,Черноярский район,AST,"4,44","9,55","0,00","0,37","0,13","4,01","0,26","0,00","0,00","0,00","0,05","0,31","0,00","1,20","0,00","0,04","0,40","0,00","1,20","0,00"
-3389541,Атырау Г.А.,ATY,"0,10","0,74","0,00","0,03","0,05","0,53","3,39","0,65","0,46","1,26","0,17","1,48","0,35","0,13","0,71","0,21","0,29","0,45","0,00","0,00"
-214840,Жылыойский район,ATY,"3,05","1,84","0,56","1,89","0,18","1,12","1,51","0,34","0,94","1,09","0,12","0,37","0,00","0,03","0,03","0,34","2,30","0,39","0,00","0,01"
-214835,Индерский район,ATY,"2,42","4,81","0,56","0,09","1,61","15,25","4,21","0,02","1,17","2,22","0,04","1,69","0,94","5,88","0,52","0,06","12,22","2,64","0,00","2,52"
-214836,Исатайский район,ATY,"0,45","4,24","0,12","0,39","0,29","3,68","17,69","2,34","5,33","1,29","3,56","0,82","0,00","4,26","2,18","0,00","9,40","0,34","11,20","9,65"
-214837,Кзылкогинский район,ATY,"18,77","23,83","1,65","10,75","11,56","13,36","5,03","9,81","7,96","6,40","1,07","2,60","0,34","3,70","3,54","1,63","14,92","1,36","0,76","0,52"
-214670,Курмангазинский район,ATY,"0,72","2,64","0,36","0,27","0,33","16,93","8,08","3,69","16,14","1,39","16,51","3,38","0,00","0,98","9,73","0,50","8,06","7,12","3,17","6,17"
-214838,Макатский район,ATY,"0,10","0,00","0,00","0,00","0,39","0,81","0,66","0,63","1,35","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,96","0,00","0,00"
-214839,Махамбетский район,ATY,"0,08","0,58","0,00","0,14","0,18","3,58","1,37","0,30","0,17","0,43","0,01","2,57","0,69","0,00","0,09","0,06","0,11","4,27","0,00","0,09"
-938659,Ики-Бурульский район,KL,"0,47","5,21","2,83","1,71","5,44","9,00","15,09","1,03","0,77","0,36","0,63","0,00","0,00","0,40","0,00","0,00","0,50","0,20","0,54","0,00"
-938662,Кетченеровский район,KL,"8,47","7,24","0,00","0,61","3,49","2,12","0,58","0,03","0,08","0,01","0,05","0,22","0,00","0,04","0,01","0,00","0,60","0,02","1,62","0,00"
-938734,Лаганский район,KL,"0,00","0,23","0,00","0,50","0,14","1,79","1,76","0,00","0,00","0,00","4,89","0,00","0,00","0,12","0,56","0,31","0,39","1,19","0,00","0,00"
-938668,Малодербетовский район,KL,"17,31","7,67","0,18","0,45","2,27","6,34","2,07","0,00","0,00","0,66","0,00","0,00","0,00","0,75","0,00","0,48","0,54","0,00","0,00","0,36"
-938733,Октябрьский район,KL,"16,80","14,87","0,00","3,59","4,23","6,63","4,48","0,02","0,00","1,17","0,00","0,00","0,00","0,00","0,00","0,00","2,14","0,00","0,52","0,00"
-938661,Сарпинский район,KL,"3,54","2,51","0,00","0,06","3,35","3,09","2,03","0,43","0,00","0,23","0,00","0,00","0,00","0,99","0,00","0,02","0,57","0,00","0,00","0,03"
-938665,Целинный район,KL,"2,11","8,11","2,29","1,61","4,71","7,80","7,73","1,26","0,07","0,64","0,01","0,05","0,00","0,08","0,00","0,20","0,00","0,07","1,02","0,14"
-938664,Черноземельский район,KL,"0,53","20,37","0,05","4,99","8,28","26,54","24,49","0,81","0,30","3,90","22,80","0,03","0,40","6,76","17,42","0,02","10,34","3,41","0,00","0,00"
-938660,Юстинский район,KL,"13,28","23,84","0,66","5,29","10,01","16,87","4,79","0,63","0,27","0,28","1,67","1,65","0,00","0,65","0,00","0,00","3,71","1,60","0,84","0,17"
-938663,Яшкульский район,KL,"3,94","10,40","1,67","3,67","3,38","16,76","8,54","0,50","0,49","4,89","6,36","1,17","0,00","1,10","4,21","0,00","0,54","0,57","0,72","0,06"
-1746013,Александрово-Гайский район,SAR,"1,14","4,72","3,72","4,52","7,95","3,44","13,75","0,93","1,00","6,10","0,47","5,95","0,35","6,43","8,15","0,59","6,20","1,18","0,74","0,28"
-1746023,Дергачёвский район,SAR,"2,41","10,87","1,71","9,76","9,66","9,90","19,52","2,87","7,61","7,03","0,30","9,37","1,20","8,44","4,86","2,95","4,79","11,89","0,58","6,66"
-1746026,Ершовский район,SAR,"1,63","2,81","0,83","1,38","6,82","2,05","5,65","1,49","1,54","5,27","0,08","1,11","0,37","2,24","1,92","1,30","6,76","2,46","0,69","1,79"
-1746030,Краснокутский район,SAR,"1,34","3,47","0,65","1,47","3,19","2,37","4,67","2,63","2,39","4,67","0,24","1,16","0,19","0,99","0,48","0,71","3,86","2,38","0,26","2,66"
-1746036,Новоузенский район,SAR,"0,53","1,47","0,89","2,13","6,16","1,76","3,81","0,99","1,47","2,21","0,02","0,73","0,17","6,95","3,04","0,65","1,07","3,35","0,01","0,13"
-1746040,Питерский район,SAR,"0,11","2,49","1,21","1,55","3,80","2,92","5,03","0,87","1,03","0,70","0,09","0,19","0,03","1,18","0,21","0,08","3,55","0,62","0,18","0,63"
-1746042,Ровенский район,SAR,"1,12","2,99","0,62","4,14","4,09","2,34","6,71","1,05","1,98","1,10","0,29","0,37","0,22","3,38","0,20","0,65","3,58","2,09","0,25","0,36"
-1746089,Фёдоровский район,SAR,"0,44","0,99","0,73","0,64","2,02","1,97","5,04","0,46","1,69","8,92","0,06","0,27","0,11","2,70","0,62","0,77","2,44","5,48","0,10","4,08"
-1107968,Быковский район,VGG,"7,89","3,31","0,29","1,39","2,80","8,48","1,04","0,48","0,00","0,38","0,57","0,01","0,15","1,04","0,45","1,87","2,48","0,03","0,00","0,27"
-1099982,городской округ Волгоград,VGG,"0,22","0,46","0,00","0,62","0,28","0,05","0,80","0,98","0,00","0,17","0,00","0,00","0,00","0,00","0,21","0,00","0,95","0,00","0,00","1,55"
-1108299,городской округ Волжский,VGG,"0,07","0,00","0,00","0,00","0,00","0,74","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,66","0,00","0,00","0,00"
-1099978,Ленинский район,VGG,"1,58","1,23","0,00","0,05","0,48","0,87","0,28","0,00","0,00","0,48","0,01","1,16","0,00","2,57","0,00","0,00","0,26","0,30","0,00","0,24"
-1107967,Николаевский район,VGG,"0,00","1,69","0,07","0,00","3,74","0,71","0,45","0,00","0,00","0,19","1,18","0,00","0,00","0,12","0,00","0,00","1,68","0,00","0,00","0,91"
-1086559,Палласовский район,VGG,"38,52","22,44","1,18","19,72","24,58","19,59","7,81","8,25","12,48","23,04","5,90","22,33","0,01","26,94","1,22","24,94","15,24","3,49","8,67","16,35"
-1099980,Светлоярский район,VGG,"2,00","4,97","0,00","0,99","3,84","3,90","3,84","0,18","0,00","0,48","0,00","0,00","0,00","1,31","0,00","0,37","0,18","0,00","0,28","0,45"
-1108343,Среднеахтубинский район,VGG,"0,76","3,36","0,00","0,85","1,05","4,67","0,00","0,13","0,00","0,19","0,00","0,00","0,00","1,19","0,00","0,00","0,73","0,00","0,00","0,04"
-1086557,Старополтавский район,VGG,"0,01","2,37","0,14","0,86","2,05","0,56","1,72","0,00","0,06","0,60","0,00","0,00","0,00","0,34","0,00","0,01","0,63","0,21","0,00","0,07"
-215641,Акжаикский район,ZKO,"34,28","21,00","6,93","9,58","11,98","15,20","6,04","6,66","5,80","2,89","5,40","10,91","0,10","8,03","12,11","0,30","30,45","4,02","0,08","0,50"
-215663,Бокейординский район,ZKO,"14,91","7,25","1,41","9,29","6,37","22,40","4,73","0,37","0,16","24,38","2,33","2,00","0,20","9,38","0,03","0,89","15,93","1,49","3,13","5,35"
-215456,Жангалинский район,ZKO,"17,70","24,40","0,96","11,33","3,27","16,85","8,09","7,84","4,43","17,20","2,20","4,29","0,33","13,04","4,04","0,11","45,73","0,55","0,02","0,86"
-214669,Жанибекский район,ZKO,"15,99","28,39","2,73","13,28","11,94","15,60","15,48","0,84","4,85","16,54","6,79","7,78","0,00","4,57","4,72","1,13","21,82","0,78","0,00","0,59"
-215499,Зеленовский район,ZKO,"3,16","15,04","2,30","3,62","10,66","2,22","10,48","2,69","3,98","5,25","0,24","0,33","0,72","6,88","0,53","2,83","6,10","1,85","0,72","0,00"
-215636,Казталовский район,ZKO,"14,68","23,59","2,42","8,83","14,94","22,87","6,11","0,86","1,90","11,67","4,95","11,51","1,18","9,73","6,57","2,21","12,10","0,48","0,09","0,03"
-215661,Каратобинский район,ZKO,"53,57","10,34","18,48","19,76","18,67","20,81","12,33","21,72","8,63","20,66","0,92","1,69","4,05","22,62","2,25","0,45","24,85","5,01","0,52","9,76"
-215659,Сырымский район,ZKO,"47,41","11,80","9,24","13,89","14,04","26,46","6,37","19,17","20,37","17,64","0,17","11,86","2,94","9,86","3,70","0,19","11,74","6,06","0,07","6,60"
-215490,Таскалинский район,ZKO,"32,00","18,67","23,30","10,85","10,72","32,99","18,94","11,29","6,83","10,99","12,86","31,73","3,55","12,75","19,02","2,08","17,87","1,33","1,81","3,23"
-215503,Теректинский район,ZKO,"15,34","12,59","5,79","2,31","6,97","8,13","5,03","2,27","16,81","6,39","0,16","10,24","0,06","7,05","3,26","0,50","5,99","3,71","0,50","0,47"
-3767383,Уральск Г.А.,ZKO,"0,44","2,00","0,74","2,00","0,20","3,64","0,02","4,32","3,96","6,68","0,00","0,00","0,00","1,74","2,65","0,00","1,25","4,80","0,00","0,00"